url,address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),reviews_list,menu_item,listed_in(type),listed_in(city)
https://www.zomato.com/hyderabad/1,"Road 48, Kondapur, Hyderabad",Kondapur Restaurant 1,Yes,No,4.7/5,20414,+91 9702634525,Kondapur,Cafe,Mutton Biryani,"Bakery, Desserts",1200,"[('Rated 4.6','Good food and service')]",Chicken Biryani,Cafes,Hyderabad
https://www.zomato.com/hyderabad/2,"Road 76, Miyapur, Hyderabad",Miyapur Restaurant 2,Yes,No,4.6/5,21004,+91 9595313323,Miyapur,Casual Dining,Paneer Butter Masala,South Indian,1200,"[('Rated 3.8','Good food and service')]",Burger,Delivery,Hyderabad
https://www.zomato.com/hyderabad/3,"Road 50, Charminar, Hyderabad",Charminar Restaurant 3,Yes,Yes,4.9/5,10980,+91 9910972386,Charminar,Cafe,Burger,Fast Food,1500,"[('Rated 4.0','Good food and service')]",Pizza,Cafes,Hyderabad
https://www.zomato.com/hyderabad/4,"Road 42, Begumpet, Hyderabad",Begumpet Restaurant 4,Yes,No,4.3/5,6510,+91 9986876995,Begumpet,Bakery,Chicken Biryani,"Bakery, Desserts",600,"[('Rated 3.8','Good food and service')]",Chicken Biryani,Dine-out,Hyderabad
https://www.zomato.com/hyderabad/5,"Road 2, Gachibowli, Hyderabad",Gachibowli Restaurant 5,No,Yes,3.8/5,11600,+91 9752730948,Gachibowli,Bakery,Mutton Biryani,"Biryani, North Indian",400,"[('Rated 4.3','Good food and service')]",Haleem,Cafes,Hyderabad
https://www.zomato.com/hyderabad/6,"Road 51, Hitech City, Hyderabad",Hitech Restaurant 6,Yes,Yes,4.6/5,9558,+91 9556604619,Hitech City,Quick Bites,Pizza,"Bakery, Desserts",800,"[('Rated 4.5','Good food and service')]",Masala Dosa,Desserts,Hyderabad
https://www.zomato.com/hyderabad/7,"Road 13, Tolichowki, Hyderabad",Tolichowki Restaurant 7,No,Yes,4.7/5,2514,+91 9627285924,Tolichowki,Quick Bites,Coffee,"Bakery, Desserts",500,"[('Rated 4.4','Good food and service')]",Burger,Delivery,Hyderabad
https://www.zomato.com/hyderabad/8,"Road 82, Secunderabad, Hyderabad",Secunderabad Restaurant 8,Yes,No,4.5/5,6315,+91 9401300398,Secunderabad,Quick Bites,Burger,Fast Food,500,"[('Rated 3.3','Good food and service')]",Coffee,Buffet,Hyderabad
https://www.zomato.com/hyderabad/9,"Road 66, Secunderabad, Hyderabad",Secunderabad Restaurant 9,No,No,4.4/5,8940,+91 9295224411,Secunderabad,Fine Dining,Chicken Biryani,Chinese,1500,"[('Rated 3.2','Good food and service')]",Haleem,Buffet,Hyderabad
https://www.zomato.com/hyderabad/10,"Road 41, Banjara Hills, Hyderabad",Banjara Restaurant 10,No,Yes,4.3/5,24120,+91 9295984019,Banjara Hills,Bakery,Haleem,Fast Food,1000,"[('Rated 3.8','Good food and service')]",Coffee,Cafes,Hyderabad
https://www.zomato.com/hyderabad/11,"Road 45, Jubilee Hills, Hyderabad",Jubilee Restaurant 11,No,No,4.3/5,11040,+91 9033323448,Jubilee Hills,Buffet,Pizza,"Biryani, North Indian",400,"[('Rated 3.9','Good food and service')]",Burger,Delivery,Hyderabad
https://www.zomato.com/hyderabad/12,"Road 58, Miyapur, Hyderabad",Miyapur Restaurant 12,No,Yes,4.7/5,10624,+91 9728884402,Miyapur,Buffet,Burger,"Cafe, Beverages",400,"[('Rated 3.1','Good food and service')]",Pizza,Cafes,Hyderabad
https://www.zomato.com/hyderabad/13,"Road 58, Banjara Hills, Hyderabad",Banjara Restaurant 13,Yes,No,3.7/5,16896,+91 9320260155,Banjara Hills,Fine Dining,Chicken Biryani,South Indian,800,"[('Rated 4.2','Good food and service')]",Coffee,Cafes,Hyderabad
https://www.zomato.com/hyderabad/14,"Road 22, Hitech City, Hyderabad",Hitech Restaurant 14,Yes,Yes,4.9/5,23741,+91 9438165011,Hitech City,Quick Bites,Paneer Butter Masala,Fast Food,1200,"[('Rated 3.5','Good food and service')]",Burger,Cafes,Hyderabad
https://www.zomato.com/hyderabad/15,"Road 51, Tolichowki, Hyderabad",Tolichowki Restaurant 15,Yes,Yes,3.2/5,24556,+91 9544940013,Tolichowki,Casual Dining,Paneer Butter Masala,Chinese,600,"[('Rated 4.6','Good food and service')]",Haleem,Buffet,Hyderabad
https://www.zomato.com/hyderabad/16,"Road 33, Hitech City, Hyderabad",Hitech Restaurant 16,No,No,4.4/5,20094,+91 9794937594,Hitech City,Cafe,Coffee,South Indian,1500,"[('Rated 3.5','Good food and service')]",Chicken Biryani,Dine-out,Hyderabad
https://www.zomato.com/hyderabad/17,"Road 70, Tolichowki, Hyderabad",Tolichowki Restaurant 17,Yes,Yes,3.8/5,14176,+91 9333880734,Tolichowki,Casual Dining,Burger,"Biryani, North Indian",800,"[('Rated 3.1','Good food and service')]",Paneer Butter Masala,Cafes,Hyderabad
https://www.zomato.com/hyderabad/18,"Road 41, Charminar, Hyderabad",Charminar Restaurant 18,Yes,No,4.6/5,3601,+91 9265831457,Charminar,Bakery,Haleem,"Biryani, North Indian",1200,"[('Rated 3.1','Good food and service')]",Chicken Biryani,Dine-out,Hyderabad
https://www.zomato.com/hyderabad/19,"Road 20, Secunderabad, Hyderabad",Secunderabad Restaurant 19,Yes,No,4.2/5,15107,+91 9358818271,Secunderabad,Cafe,Masala Dosa,Fast Food,1200,"[('Rated 4.9','Good food and service')]",Burger,Dine-out,Hyderabad
https://www.zomato.com/hyderabad/20,"Road 28, Kondapur, Hyderabad",Kondapur Restaurant 20,Yes,No,4.3/5,11059,+91 9360235805,Kondapur,Casual Dining,Chicken Biryani,"Bakery, Desserts",400,"[('Rated 4.5','Good food and service')]",Coffee,Desserts,Hyderabad
https://www.zomato.com/hyderabad/21,"Road 4, Hitech City, Hyderabad",Hitech Restaurant 21,No,Yes,3.3/5,14081,+91 9668476501,Hitech City,Fine Dining,Chicken Biryani,"Biryani, North Indian",1000,"[('Rated 4.9','Good food and service')]",Chicken Biryani,Cafes,Hyderabad
https://www.zomato.com/hyderabad/22,"Road 54, Begumpet, Hyderabad",Begumpet Restaurant 22,Yes,Yes,3.9/5,14904,+91 9506453871,Begumpet,Cafe,Paneer Butter Masala,"Bakery, Desserts",1000,"[('Rated 4.3','Good food and service')]",Masala Dosa,Cafes,Hyderabad
https://www.zomato.com/hyderabad/23,"Road 38, Charminar, Hyderabad",Charminar Restaurant 23,No,Yes,4.9/5,6366,+91 9010226655,Charminar,Buffet,Haleem,"Cafe, Beverages",800,"[('Rated 4.4','Good food and service')]",Pizza,Dine-out,Hyderabad
https://www.zomato.com/hyderabad/24,"Road 30, Gachibowli, Hyderabad",Gachibowli Restaurant 24,Yes,No,4.2/5,9020,+91 9831746505,Gachibowli,Buffet,Haleem,Chinese,400,"[('Rated 4.0','Good food and service')]",Mutton Biryani,Desserts,Hyderabad
https://www.zomato.com/hyderabad/25,"Road 90, Banjara Hills, Hyderabad",Banjara Restaurant 25,No,No,3.9/5,20876,+91 9877085194,Banjara Hills,Fine Dining,Burger,Chinese,600,"[('Rated 4.8','Good food and service')]",Burger,Delivery,Hyderabad
https://www.zomato.com/hyderabad/26,"Road 97, Hitech City, Hyderabad",Hitech Restaurant 26,Yes,No,3.2/5,4425,+91 9623248098,Hitech City,Casual Dining,Haleem,"Cafe, Beverages",500,"[('Rated 3.8','Good food and service')]",Burger,Dine-out,Hyderabad
https://www.zomato.com/hyderabad/27,"Road 78, Banjara Hills, Hyderabad",Banjara Restaurant 27,Yes,Yes,3.5/5,13615,+91 9834861648,Banjara Hills,Quick Bites,Burger,South Indian,800,"[('Rated 4.1','Good food and service')]",Chicken Biryani,Desserts,Hyderabad
https://www.zomato.com/hyderabad/28,"Road 33, Ameerpet, Hyderabad",Ameerpet Restaurant 28,No,Yes,4.7/5,22362,+91 9465587081,Ameerpet,Cafe,Paneer Butter Masala,"Cafe, Beverages",800,"[('Rated 3.8','Good food and service')]",Mutton Biryani,Desserts,Hyderabad
https://www.zomato.com/hyderabad/29,"Road 89, Miyapur, Hyderabad",Miyapur Restaurant 29,Yes,Yes,3.4/5,16095,+91 9285409980,Miyapur,Casual Dining,Masala Dosa,"Biryani, North Indian",1500,"[('Rated 4.6','Good food and service')]",Pizza,Delivery,Hyderabad
https://www.zomato.com/hyderabad/30,"Road 25, Dilsukhnagar, Hyderabad",Dilsukhnagar Restaurant 30,No,Yes,3.6/5,6501,+91 9567519379,Dilsukhnagar,Casual Dining,Masala Dosa,Fast Food,1500,"[('Rated 4.8','Good food and service')]",Pizza,Cafes,Hyderabad
https://www.zomato.com/hyderabad/31,"Road 95, Hitech City, Hyderabad",Hitech Restaurant 31,No,Yes,4.5/5,22493,+91 9843391699,Hitech City,Bakery,Pizza,"Cafe, Beverages",400,"[('Rated 5.0','Good food and service')]",Paneer Butter Masala,Desserts,Hyderabad
https://www.zomato.com/hyderabad/32,"Road 45, Banjara Hills, Hyderabad",Banjara Restaurant 32,No,No,4.3/5,10862,+91 9912422027,Banjara Hills,Bakery,Chicken Biryani,"Cafe, Beverages",400,"[('Rated 3.2','Good food and service')]",Haleem,Cafes,Hyderabad
https://www.zomato.com/hyderabad/33,"Road 62, Begumpet, Hyderabad",Begumpet Restaurant 33,Yes,Yes,4.3/5,21966,+91 9501694306,Begumpet,Cafe,Pizza,Fast Food,1200,"[('Rated 4.3','Good food and service')]",Paneer Butter Masala,Desserts,Hyderabad
https://www.zomato.com/hyderabad/34,"Road 100, Miyapur, Hyderabad",Miyapur Restaurant 34,No,Yes,3.9/5,14530,+91 9870423708,Miyapur,Buffet,Mutton Biryani,"Cafe, Beverages",400,"[('Rated 4.1','Good food and service')]",Coffee,Desserts,Hyderabad
https://www.zomato.com/hyderabad/35,"Road 68, LB Nagar, Hyderabad",LB Restaurant 35,Yes,Yes,3.4/5,7604,+91 9355054766,LB Nagar,Bakery,Coffee,"Cafe, Beverages",300,"[('Rated 3.4','Good food and service')]",Burger,Desserts,Hyderabad
https://www.zomato.com/hyderabad/36,"Road 63, Kukatpally, Hyderabad",Kukatpally Restaurant 36,Yes,No,3.6/5,19320,+91 9411201493,Kukatpally,Cafe,Masala Dosa,"Cafe, Beverages",300,"[('Rated 3.9','Good food and service')]",Haleem,Dine-out,Hyderabad
https://www.zomato.com/hyderabad/37,"Road 44, Banjara Hills, Hyderabad",Banjara Restaurant 37,Yes,Yes,3.5/5,4209,+91 9300761523,Banjara Hills,Cafe,Mutton Biryani,South Indian,400,"[('Rated 4.0','Good food and service')]",Haleem,Cafes,Hyderabad
https://www.zomato.com/hyderabad/38,"Road 49, Kondapur, Hyderabad",Kondapur Restaurant 38,No,Yes,3.6/5,12561,+91 9277397658,Kondapur,Casual Dining,Masala Dosa,Fast Food,1500,"[('Rated 3.7','Good food and service')]",Masala Dosa,Dine-out,Hyderabad
https://www.zomato.com/hyderabad/39,"Road 58, Banjara Hills, Hyderabad",Banjara Restaurant 39,Yes,No,4.3/5,19758,+91 9456656776,Banjara Hills,Fine Dining,Coffee,"Mughlai, Biryani",1000,"[('Rated 3.7','Good food and service')]",Masala Dosa,Cafes,Hyderabad
https://www.zomato.com/hyderabad/40,"Road 17, Miyapur, Hyderabad",Miyapur Restaurant 40,No,Yes,3.8/5,2239,+91 9146992448,Miyapur,Casual Dining,Paneer Butter Masala,Chinese,500,"[('Rated 4.7','Good food and service')]",Coffee,Delivery,Hyderabad
https://www.zomato.com/hyderabad/41,"Road 89, Begumpet, Hyderabad",Begumpet Restaurant 41,No,Yes,3.9/5,21957,+91 9055537045,Begumpet,Buffet,Coffee,Chinese,300,"[('Rated 4.7','Good food and service')]",Mutton Biryani,Cafes,Hyderabad
https://www.zomato.com/hyderabad/42,"Road 74, Ameerpet, Hyderabad",Ameerpet Restaurant 42,No,Yes,4.3/5,4843,+91 9075852067,Ameerpet,Cafe,Burger,"Bakery, Desserts",800,"[('Rated 3.2','Good food and service')]",Masala Dosa,Dine-out,Hyderabad
https://www.zomato.com/hyderabad/43,"Road 99, Jubilee Hills, Hyderabad",Jubilee Restaurant 43,No,Yes,3.6/5,4637,+91 9403507132,Jubilee Hills,Casual Dining,Coffee,Chinese,800,"[('Rated 3.3','Good food and service')]",Pizza,Buffet,Hyderabad
https://www.zomato.com/hyderabad/44,"Road 31, Secunderabad, Hyderabad",Secunderabad Restaurant 44,Yes,Yes,3.6/5,20767,+91 9090818328,Secunderabad,Buffet,Paneer Butter Masala,"Cafe, Beverages",500,"[('Rated 4.6','Good food and service')]",Paneer Butter Masala,Cafes,Hyderabad
https://www.zomato.com/hyderabad/45,"Road 91, Madhapur, Hyderabad",Madhapur Restaurant 45,No,No,3.3/5,21893,+91 9111551397,Madhapur,Quick Bites,Haleem,Chinese,600,"[('Rated 3.5','Good food and service')]",Mutton Biryani,Delivery,Hyderabad
https://www.zomato.com/hyderabad/46,"Road 33, Banjara Hills, Hyderabad",Banjara Restaurant 46,No,Yes,3.5/5,19256,+91 9203531225,Banjara Hills,Buffet,Mutton Biryani,"Cafe, Beverages",1200,"[('Rated 3.1','Good food and service')]",Masala Dosa,Desserts,Hyderabad
https://www.zomato.com/hyderabad/47,"Road 51, Begumpet, Hyderabad",Begumpet Restaurant 47,Yes,Yes,3.7/5,5128,+91 9692704253,Begumpet,Fine Dining,Haleem,Chinese,500,"[('Rated 4.4','Good food and service')]",Paneer Butter Masala,Delivery,Hyderabad
https://www.zomato.com/hyderabad/48,"Road 3, Dilsukhnagar, Hyderabad",Dilsukhnagar Restaurant 48,Yes,No,3.8/5,16662,+91 9135726147,Dilsukhnagar,Quick Bites,Mutton Biryani,Fast Food,1000,"[('Rated 4.1','Good food and service')]",Haleem,Desserts,Hyderabad
https://www.zomato.com/hyderabad/49,"Road 7, Banjara Hills, Hyderabad",Banjara Restaurant 49,Yes,No,4.5/5,17777,+91 9239644095,Banjara Hills,Casual Dining,Mutton Biryani,"Mughlai, Biryani",1500,"[('Rated 3.1','Good food and service')]",Burger,Buffet,Hyderabad
https://www.zomato.com/hyderabad/50,"Road 9, Gachibowli, Hyderabad",Gachibowli Restaurant 50,Yes,Yes,4.1/5,8141,+91 9531215906,Gachibowli,Bakery,Paneer Butter Masala,"Cafe, Beverages",500,"[('Rated 3.9','Good food and service')]",Burger,Buffet,Hyderabad
https://www.zomato.com/hyderabad/51,"Road 70, Kondapur, Hyderabad",Kondapur Restaurant 51,No,No,3.9/5,1321,+91 9088873845,Kondapur,Casual Dining,Chicken Biryani,Fast Food,600,"[('Rated 4.6','Good food and service')]",Pizza,Delivery,Hyderabad
https://www.zomato.com/hyderabad/52,"Road 64, Begumpet, Hyderabad",Begumpet Restaurant 52,No,No,4.0/5,12770,+91 9453223818,Begumpet,Fine Dining,Masala Dosa,Chinese,1200,"[('Rated 3.5','Good food and service')]",Mutton Biryani,Cafes,Hyderabad
https://www.zomato.com/hyderabad/53,"Road 4, Kukatpally, Hyderabad",Kukatpally Restaurant 53,No,No,4.0/5,2816,+91 9663225868,Kukatpally,Cafe,Burger,"Cafe, Beverages",500,"[('Rated 3.1','Good food and service')]",Haleem,Cafes,Hyderabad
https://www.zomato.com/hyderabad/54,"Road 79, Banjara Hills, Hyderabad",Banjara Restaurant 54,No,Yes,4.5/5,7076,+91 9425685478,Banjara Hills,Fine Dining,Chicken Biryani,"Biryani, North Indian",1000,"[('Rated 3.6','Good food and service')]",Chicken Biryani,Cafes,Hyderabad
https://www.zomato.com/hyderabad/55,"Road 68, Hitech City, Hyderabad",Hitech Restaurant 55,Yes,Yes,4.4/5,18105,+91 9125615082,Hitech City,Bakery,Chicken Biryani,"Biryani, North Indian",300,"[('Rated 3.3','Good food and service')]",Haleem,Cafes,Hyderabad
https://www.zomato.com/hyderabad/56,"Road 57, Miyapur, Hyderabad",Miyapur Restaurant 56,No,No,4.4/5,21016,+91 9955406728,Miyapur,Fine Dining,Paneer Butter Masala,"Bakery, Desserts",1200,"[('Rated 3.9','Good food and service')]",Burger,Delivery,Hyderabad
https://www.zomato.com/hyderabad/57,"Road 65, Secunderabad, Hyderabad",Secunderabad Restaurant 57,No,Yes,4.8/5,6319,+91 9423886812,Secunderabad,Casual Dining,Coffee,"Mughlai, Biryani",300,"[('Rated 4.1','Good food and service')]",Mutton Biryani,Dine-out,Hyderabad
https://www.zomato.com/hyderabad/58,"Road 99, Charminar, Hyderabad",Charminar Restaurant 58,Yes,No,4.5/5,11538,+91 9614920612,Charminar,Casual Dining,Haleem,Chinese,1500,"[('Rated 3.4','Good food and service')]",Coffee,Delivery,Hyderabad
https://www.zomato.com/hyderabad/59,"Road 5, Gachibowli, Hyderabad",Gachibowli Restaurant 59,No,Yes,4.2/5,11063,+91 9998132148,Gachibowli,Fine Dining,Haleem,Fast Food,1000,"[('Rated 4.2','Good food and service')]",Coffee,Dine-out,Hyderabad
https://www.zomato.com/hyderabad/60,"Road 79, Begumpet, Hyderabad",Begumpet Restaurant 60,Yes,No,3.4/5,23543,+91 9240427006,Begumpet,Bakery,Coffee,Fast Food,400,"[('Rated 3.1','Good food and service')]",Paneer Butter Masala,Desserts,Hyderabad
https://www.zomato.com/hyderabad/61,"Road 42, Ameerpet, Hyderabad",Ameerpet Restaurant 61,No,No,4.0/5,5679,+91 9510616321,Ameerpet,Cafe,Masala Dosa,Chinese,400,"[('Rated 4.4','Good food and service')]",Burger,Dine-out,Hyderabad
https://www.zomato.com/hyderabad/62,"Road 14, Miyapur, Hyderabad",Miyapur Restaurant 62,No,Yes,3.6/5,4970,+91 9442671564,Miyapur,Cafe,Mutton Biryani,"Mughlai, Biryani",500,"[('Rated 4.7','Good food and service')]",Chicken Biryani,Cafes,Hyderabad
https://www.zomato.com/hyderabad/63,"Road 98, Charminar, Hyderabad",Charminar Restaurant 63,Yes,No,4.9/5,22948,+91 9257499070,Charminar,Fine Dining,Mutton Biryani,Chinese,1000,"[('Rated 3.8','Good food and service')]",Pizza,Desserts,Hyderabad
https://www.zomato.com/hyderabad/64,"Road 84, Hitech City, Hyderabad",Hitech Restaurant 64,No,Yes,4.7/5,10443,+91 9166271533,Hitech City,Bakery,Masala Dosa,"Bakery, Desserts",1500,"[('Rated 3.6','Good food and service')]",Paneer Butter Masala,Desserts,Hyderabad
https://www.zomato.com/hyderabad/65,"Road 98, Begumpet, Hyderabad",Begumpet Restaurant 65,Yes,Yes,4.7/5,1099,+91 9255119210,Begumpet,Fine Dining,Masala Dosa,Chinese,300,"[('Rated 3.2','Good food and service')]",Masala Dosa,Delivery,Hyderabad
https://www.zomato.com/hyderabad/66,"Road 91, Banjara Hills, Hyderabad",Banjara Restaurant 66,Yes,No,3.4/5,23418,+91 9505838084,Banjara Hills,Buffet,Masala Dosa,"Mughlai, Biryani",300,"[('Rated 3.4','Good food and service')]",Coffee,Desserts,Hyderabad
https://www.zomato.com/hyderabad/67,"Road 9, Madhapur, Hyderabad",Madhapur Restaurant 67,No,Yes,3.6/5,3098,+91 9658362110,Madhapur,Quick Bites,Masala Dosa,South Indian,800,"[('Rated 4.6','Good food and service')]",Haleem,Dine-out,Hyderabad
https://www.zomato.com/hyderabad/68,"Road 76, Ameerpet, Hyderabad",Ameerpet Restaurant 68,Yes,No,3.9/5,24001,+91 9059282189,Ameerpet,Cafe,Coffee,Chinese,1500,"[('Rated 4.1','Good food and service')]",Chicken Biryani,Cafes,Hyderabad
https://www.zomato.com/hyderabad/69,"Road 23, LB Nagar, Hyderabad",LB Restaurant 69,No,No,4.4/5,11643,+91 9009758059,LB Nagar,Quick Bites,Haleem,South Indian,500,"[('Rated 4.1','Good food and service')]",Masala Dosa,Delivery,Hyderabad
https://www.zomato.com/hyderabad/70,"Road 23, Tolichowki, Hyderabad",Tolichowki Restaurant 70,Yes,Yes,4.8/5,7636,+91 9341584886,Tolichowki,Fine Dining,Paneer Butter Masala,Chinese,300,"[('Rated 4.6','Good food and service')]",Burger,Cafes,Hyderabad
https://www.zomato.com/hyderabad/71,"Road 23, Jubilee Hills, Hyderabad",Jubilee Restaurant 71,Yes,No,4.2/5,11429,+91 9369173198,Jubilee Hills,Cafe,Chicken Biryani,"Biryani, North Indian",600,"[('Rated 3.6','Good food and service')]",Paneer Butter Masala,Cafes,Hyderabad
https://www.zomato.com/hyderabad/72,"Road 2, Begumpet, Hyderabad",Begumpet Restaurant 72,No,No,4.6/5,10306,+91 9048367021,Begumpet,Bakery,Haleem,"Cafe, Beverages",1000,"[('Rated 3.6','Good food and service')]",Haleem,Dine-out,Hyderabad
https://www.zomato.com/hyderabad/73,"Road 5, Hitech City, Hyderabad",Hitech Restaurant 73,No,No,3.9/5,18162,+91 9927216214,Hitech City,Cafe,Masala Dosa,Chinese,300,"[('Rated 3.3','Good food and service')]",Masala Dosa,Dine-out,Hyderabad
https://www.zomato.com/hyderabad/74,"Road 2, LB Nagar, Hyderabad",LB Restaurant 74,No,Yes,3.4/5,22759,+91 9922025855,LB Nagar,Quick Bites,Pizza,South Indian,300,"[('Rated 4.5','Good food and service')]",Paneer Butter Masala,Desserts,Hyderabad
https://www.zomato.com/hyderabad/75,"Road 43, Tolichowki, Hyderabad",Tolichowki Restaurant 75,Yes,Yes,4.4/5,4526,+91 9463344814,Tolichowki,Cafe,Chicken Biryani,"Mughlai, Biryani",300,"[('Rated 3.2','Good food and service')]",Masala Dosa,Cafes,Hyderabad
https://www.zomato.com/hyderabad/76,"Road 73, Hitech City, Hyderabad",Hitech Restaurant 76,Yes,No,3.8/5,22758,+91 9189589229,Hitech City,Buffet,Pizza,Chinese,300,"[('Rated 4.9','Good food and service')]",Burger,Buffet,Hyderabad
https://www.zomato.com/hyderabad/77,"Road 6, Ameerpet, Hyderabad",Ameerpet Restaurant 77,No,No,4.2/5,5750,+91 9994680773,Ameerpet,Buffet,Burger,Fast Food,300,"[('Rated 3.5','Good food and service')]",Paneer Butter Masala,Dine-out,Hyderabad
https://www.zomato.com/hyderabad/78,"Road 15, Banjara Hills, Hyderabad",Banjara Restaurant 78,Yes,Yes,3.2/5,21832,+91 9220176799,Banjara Hills,Buffet,Burger,"Biryani, North Indian",300,"[('Rated 4.6','Good food and service')]",Burger,Delivery,Hyderabad
https://www.zomato.com/hyderabad/79,"Road 89, Kondapur, Hyderabad",Kondapur Restaurant 79,No,No,4.0/5,23431,+91 9791344154,Kondapur,Quick Bites,Mutton Biryani,Chinese,800,"[('Rated 4.2','Good food and service')]",Burger,Cafes,Hyderabad
https://www.zomato.com/hyderabad/80,"Road 1, Secunderabad, Hyderabad",Secunderabad Restaurant 80,No,Yes,3.7/5,13293,+91 9524447182,Secunderabad,Fine Dining,Coffee,"Biryani, North Indian",1200,"[('Rated 4.9','Good food and service')]",Coffee,Desserts,Hyderabad
https://www.zomato.com/hyderabad/81,"Road 8, LB Nagar, Hyderabad",LB Restaurant 81,Yes,No,4.2/5,5921,+91 9650094139,LB Nagar,Fine Dining,Burger,"Bakery, Desserts",1200,"[('Rated 3.9','Good food and service')]",Coffee,Dine-out,Hyderabad
https://www.zomato.com/hyderabad/82,"Road 5, Jubilee Hills, Hyderabad",Jubilee Restaurant 82,Yes,No,4.7/5,2619,+91 9093166008,Jubilee Hills,Fine Dining,Haleem,Chinese,600,"[('Rated 4.6','Good food and service')]",Mutton Biryani,Delivery,Hyderabad
https://www.zomato.com/hyderabad/83,"Road 25, Ameerpet, Hyderabad",Ameerpet Restaurant 83,Yes,No,4.6/5,3991,+91 9555198205,Ameerpet,Quick Bites,Mutton Biryani,Fast Food,300,"[('Rated 4.9','Good food and service')]",Mutton Biryani,Delivery,Hyderabad
https://www.zomato.com/hyderabad/84,"Road 40, Charminar, Hyderabad",Charminar Restaurant 84,Yes,Yes,3.9/5,3424,+91 9830635649,Charminar,Quick Bites,Chicken Biryani,Chinese,500,"[('Rated 3.8','Good food and service')]",Masala Dosa,Dine-out,Hyderabad
https://www.zomato.com/hyderabad/85,"Road 7, Madhapur, Hyderabad",Madhapur Restaurant 85,Yes,No,4.2/5,16505,+91 9923217123,Madhapur,Bakery,Haleem,"Bakery, Desserts",300,"[('Rated 4.9','Good food and service')]",Masala Dosa,Cafes,Hyderabad
